row_id,icd9_code,short_title,long_title
50,01786,TB esophagus-oth test,"Tuberculosis of esophagus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
100,01002,Prim TB complex-exm unkn,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)"
150,01133,TB of bronchus-micro dx,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy"
200,01204,TB pleurisy-cult dx,"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
250,0039,Salmonella infection NOS,"Salmonella infection, unspecified"
300,01596,TB bone/jt NOS-oth test,"Tuberculosis of unspecified bones and joints, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
350,01670,TB female gen NEC-unspec,"Tuberculosis of other female genital organs, unspecified"
400,0914,Syphilitic adenopathy,Adenopathy due to secondary syphilis
450,0971,Latent syphilis NOS,"Latent syphilis, unspecified"
500,04143,Shga txn prod E.coli NOS,"Shiga toxin-producing Escherichia coli [E. coli] (STEC), unspecified"
550,0501,Alastrim,Alastrim
600,0548,H simplex complicat NOS,Herpes simplex with unspecified complication
650,03819,Staphylcocc septicem NEC,Other staphylococcal septicemia
700,0219,Tularemia NOS,Unspecified tularemia
750,01310,Tubrclma meninges-unspec,"Tuberculoma of meninges, unspecified"
800,01391,Cns TB NOS-no exam,"Unspecified tuberculosis of central nervous system, bacteriological or histological examination not done"
850,01562,TB of mastoid-exam unkn,"Tuberculosis of mastoid, bacteriological or histological examination unknown (at present)"
900,1363,Pneumocystosis,Pneumocystosis
950,20243,Hairy-cell leukem abdom,"Leukemic reticuloendotheliosis, intra-abdominal lymph nodes"
1000,0624,Australian encephalitis,Australian encephalitis
1050,0709,Viral hepat NOS w/o coma,Unspecified viral hepatitis without mention of hepatic coma
1100,0790,Adenovirus infect NOS,Adenovirus infection in conditions classified elsewhere and of unspecified site
1150,1439,Malig neo gum NOS,"Malignant neoplasm of gum, unspecified"
1200,1512,Mal neo pyloric antrum,Malignant neoplasm of pyloric antrum
1250,1712,Mal neo soft tissue arm,"Malignant neoplasm of connective and other soft tissue of upper limb, including shoulder"
1300,17380,Mal neo skn site NEC/NOS,Unspecified malignant neoplasm of other specified sites of skin
1350,1710,Mal neo soft tissue head,"Malignant neoplasm of connective and other soft tissue of head, face, and neck"
1400,1110,Pityriasis versicolor,Pityriasis versicolor
1450,1170,Rhinosporidiosis,Rhinosporidiosis
1500,1254,Dipetalonemiasis,Dipetalonemiasis
1550,20115,Hodgkins granulom inguin,"Hodgkin's granuloma, lymph nodes of inguinal region and lower limb"
1600,25021,DMI hprsm nt st uncntrld,"Diabetes with hyperosmolarity, type I [juvenile type], not stated as uncontrolled"
1650,2647,Vit A ocular defic NEC,Other ocular manifestations of vitamin A deficiency
1700,20202,Nodular lymphoma thorax,"Nodular lymphoma, intrathoracic lymph nodes"
1750,2384,Polycythemia vera,Polycythemia vera
1800,2450,Acute thyroiditis,Acute thyroiditis
1850,20270,Periph T cell lym xtrndl,"Peripheral T cell lymphoma, unspecified site, extranodal and solid organ sites"
1900,20492,Lymp leuk NOS relapse,"Unspecified lymphoid leukemia, in relapse"
1950,1759,Mal neo male breast NEC,Malignant neoplasm of other and unspecified sites of male breast
2000,1886,Mal neo ureteric orifice,Malignant neoplasm of ureteric orifice
2050,1954,Malign neopl arm,Malignant neoplasm of upper limb
2100,20017,Lymphosarcoma spleen,"Lymphosarcoma, spleen"
2150,20073,Large cell lymph abdom,"Large cell lymphoma, intra-abdominal lymph nodes"
2200,27905,Immunodefic w hyper-igm,Immunodeficiency with increased IgM
2250,2827,Hemoglobinopathies NEC,Other hemoglobinopathies
2300,2536,Neurohypophysis dis NEC,Other disorders of neurohypophysis
2350,20916,Mal carcinoid sig colon,Malignant carcinoid tumor of the sigmoid colon
2400,2104,Benign neo mouth NEC/NOS,Benign neoplasm of other and unspecified parts of mouth
2450,2158,Ben neo soft tissue NEC,Other benign neoplasm of connective and other soft tissue of other specified sites
2500,2249,Benign neoplasm eye NOS,"Benign neoplasm of eye, part unspecified"
2550,2328,Ca in situ skin NEC,Carcinoma in situ of other specified sites of skin
2600,29689,Bipolar disorder NEC,Other bipolar disorders
2650,3010,Paranoid personality,Paranoid personality disorder
2700,30390,Alcoh dep NEC/NOS-unspec,"Other and unspecified alcohol dependence, unspecified"
2750,2727,Lipidoses,Lipidoses
